date,pm25,pm10,o3,no2,so2
2018/2/23,66,20,22,11,1
2018/2/24,69,26,23,12,1
2018/2/25,79,32,26,13,1
2018/2/26,93,20,25,10,1
2018/2/27,65,10,30,13,1
2018/2/28,38,14,25,13,1
2018/3/1,52,14,31,10,1
2018/3/2,58,10,,,
2018/3/3,55,,,,
2018/3/7,85,16,28,8,1
2018/3/8,58,10,22,15,1
2018/3/9,39,18,17,20,2
2018/3/10,63,15,19,14,1
2018/3/11,52,21,20,18,1
2018/3/12,52,22,17,17,1
2018/3/13,60,11,31,9,
2018/3/14,39,8,33,5,
2018/3/15,25,10,33,10,1
2018/3/16,29,12,30,12,
2018/3/17,37,14,22,11,
2018/3/18,48,9,34,10,
2018/3/19,29,11,30,4,
2018/3/20,34,,,,
2014/10/1,20,12,11,4,
2014/10/2,29,8,13,4,
2014/10/3,22,8,10,3,
2014/10/4,21,9,11,2,
2014/10/5,22,10,12,3,
2014/10/6,29,12,8,5,1
2014/10/7,37,8,9,2,1
2014/10/8,24,,,,
2014/7/1,53,18,14,2,
2014/7/2,49,11,8,,
2014/7/3,31,7,6,,
2014/7/4,24,10,8,,
2014/7/5,28,9,8,,
2014/7/6,28,11,7,1,
2014/7/7,31,11,5,1,
2014/7/8,35,13,8,,
2014/7/9,38,9,3,,
2014/7/10,30,9,5,,
2014/7/11,27,8,5,,
2014/7/12,26,5,8,,
2014/7/13,13,6,6,,
2014/7/14,16,9,8,,
2014/7/15,19,7,10,,
2014/7/16,17,9,7,,
2014/7/17,26,16,9,2,
2014/7/18,43,12,7,3,
2014/7/19,36,9,6,2,
2014/7/20,29,7,6,,
2014/7/21,21,7,1,,
2014/7/22,23,14,16,4,
2014/7/23,42,20,16,6,
2014/7/24,57,19,14,7,
2014/7/25,58,14,11,4,
2014/7/26,42,5,9,1,
2014/7/27,14,6,10,2,
2014/7/28,16,7,11,2,
2014/7/29,18,12,10,1,
2014/7/30,25,13,12,2,
2014/7/31,38,10,9,3,
2014/8/1,33,6,8,2,
2014/8/2,20,5,11,,
2014/8/3,14,9,9,1,
2014/8/4,22,8,8,2,
2014/8/5,26,9,10,1,
2014/8/6,23,9,9,2,
2014/8/7,20,7,8,3,
2014/8/8,23,7,9,1,
2014/8/9,17,,,,
2014/8/14,17,7,9,2,
2014/8/15,17,8,12,1,
2014/8/16,19,8,10,,
2014/8/17,17,8,10,1,
2014/8/18,18,7,9,2,
2014/8/19,17,7,8,2,
2014/8/20,17,7,10,2,
2014/8/21,18,7,10,2,
2014/8/22,16,7,11,2,
2014/8/23,22,7,11,3,
2014/8/24,21,7,9,2,
2014/8/25,20,18,10,3,
2014/8/26,32,13,12,3,
2014/8/27,29,10,11,2,
2014/8/28,20,6,10,1,
2014/8/29,16,9,10,1,
2014/8/30,19,10,9,1,
2014/8/31,20,12,9,2,
2014/9/1,24,13,7,6,
2014/9/2,33,15,9,7,
2014/9/3,47,23,11,8,
2014/9/4,66,24,8,11,
2014/9/5,66,12,7,3,6
2014/9/6,35,11,8,4,
2014/9/7,34,16,7,6,
2014/9/8,52,15,7,6,
2014/9/9,45,15,5,8,
2014/9/10,49,,,,
2014/9/16,72,36,9,7,
2014/9/17,86,34,11,7,
2014/9/18,86,47,8,8,
2014/9/19,111,15,9,5,
2014/9/20,43,16,9,6,
2014/9/21,47,17,13,7,
2014/9/22,52,16,10,3,
2014/9/23,45,9,8,4,
2014/9/24,22,6,7,2,
2014/9/25,15,14,11,3,
2014/9/26,30,13,10,5,
2014/9/27,36,13,6,7,
2014/9/28,43,12,2,6,
2014/9/29,40,7,8,3,
2014/9/30,21,10,10,3,
2014/5/27,27,13,10,1,
2014/5/28,37,10,10,1,
2014/5/29,26,19,12,1,
2014/5/30,49,15,13,1,
2014/5/31,44,5,8,,
2014/6/1,17,5,7,,
2014/6/2,15,7,10,2,
2014/6/3,20,6,9,,
2014/6/4,19,9,12,,
2014/6/5,22,14,10,2,
2014/6/6,34,13,13,,
2014/6/7,32,14,11,,
2014/6/8,39,20,11,,
2014/6/9,54,23,10,1,
2014/6/10,72,32,10,,
2014/6/11,96,50,9,,
2014/6/12,119,27,8,1,
2014/6/13,81,26,4,1,
2014/6/14,86,29,7,,
2014/6/15,95,25,7,,
2014/6/16,79,35,6,,
2014/6/17,111,43,6,1,
